onset,pitch,velocity,voice_id,linear_compensated,powerlaw_compensated,logarithmic_compensated,latency_linear,latency_powerlaw,latency_logarithmic,dev_lin_pow,dev_lin_log,dev_pow_log,max_deviation,Fragment,velocity_bin
255.0,64,680,1,238.29423264907135,233.83683108638175,243.82302197602414,16.705767350928642,21.163168913618257,11.17697802397586,4.457401562689597,5.52878932695279,9.986190889642387,9.986190889642387,Fragment_4_Tremolo,"(600, 700]"
270.0,64,708,1,253.841642228739,249.57955297942055,258.939283634479,16.158357771260995,20.42044702057946,11.060716365520967,4.26208924931845,5.097641405740006,9.359730655058456,9.359730655058456,Fragment_4_Tremolo,"(700, 800]"
285.0,64,736,1,269.38905180840663,265.35224059725056,274.05104161819014,15.610948191593351,19.64775940274947,10.94895838180986,4.036811211156078,4.661989809783506,8.698801020939584,8.698801020939584,Fragment_4_Tremolo,"(700, 800]"
300.0,64,765,1,284.95601173020526,281.1841143437019,289.1624011638499,15.04398826979472,18.815885656298107,10.837598836150086,3.771897386503383,4.206389433644631,7.978286820148014,7.978286820148014,Fragment_4_Tremolo,"(700, 800]"
315.0,64,793,1,300.5034213098729,297.0178036155711,304.2659903942859,14.496578690127077,17.98219638442891,10.734009605714085,3.4856176943018227,3.7625690844129736,7.248186778714796,7.248186778714796,Fragment_4_Tremolo,"(700, 800]"
330.0,64,821,1,316.0508308895406,312.8814586122315,319.36598916736335,13.949169110459433,17.11854138776852,10.634010832636637,3.169372277309094,3.315158277822775,6.484530555131869,6.484530555131869,Fragment_4_Tremolo,"(800, 900]"
345.0,64,850,1,331.6177908113392,328.8075485724715,334.46603064337194,13.382209188660802,16.192451427528525,10.533969356628077,2.8102422388677155,2.848239832032732,5.6584820709004475,5.6584820709004475,Fragment_4_Tremolo,"(800, 900]"
0.0,55,50,1,-29.022482893450636,-29.95222301532017,-18.65514931605701,29.022482893450636,29.95222301532017,18.65514931605701,0.929740121869532,10.367333577393627,11.297073699263159,11.297073699263159,Fragment_5_Micropolyphonic,"(0, 100]"
5.0,60,900,1,-7.404692082111438,-9.5202569637344,-5.369233408372924,12.404692082111438,14.5202569637344,10.369233408372924,2.115564881622962,2.035458673738514,4.151023555361476,4.151023555361476,Fragment_5_Micropolyphonic,"(800, 900]"
10.0,64,100,1,-18.044965786901273,-19.808892061280673,-6.683577034496409,28.044965786901273,29.808892061280673,16.68357703449641,1.7639262743794006,11.361388752404864,13.125315026784264,13.125315026784264,Fragment_5_Micropolyphonic,"(0, 100]"
15.0,67,950,1,3.5728250244379254,2.2474914694193835,4.786603061721127,11.427174975562075,12.752508530580617,10.213396938278873,1.3253335550185419,1.2137780372832019,2.5391115923017438,2.5391115923017438,Fragment_5_Micropolyphonic,"(900, 1000]"
20.0,72,80,1,-8.435972629521018,-9.877690919219631,2.6797000057692486,28.435972629521018,29.87769091921963,17.32029999423075,1.4417182896986134,11.115672635290267,12.55739092498888,12.55739092498888,Fragment_5_Micropolyphonic,"(0, 100]"
25.0,76,1000,1,14.550342130987293,14.110793871932838,14.934452517671986,10.449657869012707,10.889206128067162,10.065547482328014,0.4395482590544546,0.3841103866846929,0.8236586457391475,0.8236586457391475,Fragment_5_Micropolyphonic,"(900, 1000]"
30.0,48,60,1,1.1730205278592365,0.06879885793895824,11.861474675125773,28.826979472140764,29.93120114206104,18.138525324874227,1.1042216699202783,10.688454147266537,11.792675817186815,11.792675817186815,Fragment_5_Micropolyphonic,"(0, 100]"
35.0,52,920,1,22.986314760508307,21.175375933203952,24.694114692182673,12.013685239491693,13.824624066796048,10.305885307817327,1.810938827304355,1.7077999316743657,3.5187387589787207,3.5187387589787207,Fragment_5_Micropolyphonic,"(900, 1000]"
40.0,79,70,1,11.36852394916911,10.093642889972472,22.299494239009366,28.63147605083089,29.90635711002753,17.700505760990634,1.2748810591966375,10.930970289840257,12.205851349036895,12.205851349036895,Fragment_5_Micropolyphonic,"(0, 100]"
45.0,84,980,1,34.159335288367544,33.3540064346043,34.876218652438475,10.840664711632453,11.645993565395703,10.123781347561525,0.8053288537632426,0.7168833640709309,1.5222122178341735,1.5222122178341735,Fragment_5_Micropolyphonic,"(900, 1000]"
