run,same_symbol_mc,same_symbol_rc,sequential_self_sim_mc,section_seq_autocorr,section_seq_lz,section_seq_ir
80,0.7693850629114282,0.8724053074134019,0.7756598240469208,-0.4999664625450788,5.0,0.2516291673878228
81,0.7745233494667296,0.8945992106336708,0.779616244151128,-0.020276581455111,6.0,0.0
82,0.7813258778798653,0.8504810151585425,0.7743259803921568,-0.3402413222762998,6.0,0.08170416594551039
83,0.7783156730990789,0.8800306090815044,0.7868838208155116,0.2043631712308273,6.0,0.04411041774840095
84,0.7705315275650174,0.8617519462136278,0.7638483965014577,-0.7173504380299317,5.0,0.4591479170272448
85,0.7767501606983642,0.8448198370105923,0.8058823529411765,-0.7035645062926718,5.0,0.4591479170272448
86,0.7740299915983441,0.8611808494342169,0.7687425682572306,0.3455827983779581,6.0,0.08170416594551039
87,0.7702652661196716,0.8559024173107266,0.7765273098345742,-0.012428529377701345,6.0,0.0
88,0.7773540875735866,0.8590401558162151,0.7704389440149448,0.004297601765040801,6.0,0.0
89,0.7747555133937247,0.8663549172223138,0.7752161383285303,-0.6831530473412137,5.0,0.4591479170272448
90,0.7765662379713134,0.873064821352839,0.7821239919299208,0.22261305342207413,6.0,0.04411041774840095
91,0.7732152106197222,0.8578476572459856,0.7725956233654209,-0.017881824926800998,6.0,0.0
92,0.7657193727269631,0.8498252710521114,0.7603550295857988,-0.7108393539053808,5.0,0.4591479170272448
93,0.7720211301944016,0.9079223017705197,0.7678816549581441,0.6897497111379851,6.0,0.4591479170272448
94,0.7785526275003701,0.8752594369072924,0.7864013455033354,-0.000735910570493451,6.0,0.0
95,0.7754435955937674,0.8867372135796604,0.7845410628019324,-0.4992597872821767,5.0,0.2516291673878228
96,0.7710680832731155,0.876177124796456,0.7719894809010205,-0.005043852690601177,5.0,0.0
97,0.7759386403085574,0.8848210056855255,0.8058411334458596,-0.4821103537362081,6.0,0.2516291673878228
98,0.7729728862834333,0.8653910022281026,0.7660818713450293,-0.7145468551142843,5.0,0.4591479170272448
99,0.7733516200731043,0.8565361463753752,0.7684817817645143,0.015634021350571507,5.0,0.0
