onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
1.1600000000000001,59,577.1205696112636,72,0.042,100,1.1412609970674488
1.1600000000000001,47,637.1205696112636,80,0.042,0,1.142512218963832
1.1700000000000004,86,500.62120220866245,63,0.0315,101,1.1498533724340179
1.1700000000000004,74,560.6212022086625,70,0.0315,1,1.1509481915933533
1.2000000000000004,79,520.5007980258733,65,0.063,101,1.1801661779081138
1.2000000000000002,57,585.2646938933922,73,0.084,100,1.1814173998044968
1.2000000000000004,67,580.5007980258733,73,0.063,1,1.181417399804497
1.2000000000000002,45,645.2646938933922,81,0.084,0,1.18266862170088
1.2600000000000005,81,577.8392092333826,72,0.0315,101,1.241260997067449
1.2600000000000005,69,637.8392092333826,80,0.0315,1,1.2425122189638322
1.2800000000000002,59,517.5900445722631,65,0.042,100,1.2601661779081137
1.2800000000000002,47,577.5900445722631,72,0.042,0,1.2612609970674489
1.2900000000000005,79,562.912507335179,70,0.0315,101,1.2709481915933534
1.2900000000000005,67,622.912507335179,78,0.0315,1,1.2721994134897365
1.3200000000000003,52,476.58922063315663,60,0.128,100,1.2993841642228743
1.3200000000000003,40,536.5892206331566,67,0.128,0,1.3004789833822095
1.3200000000000005,76,575.1741162211115,72,0.0315,101,1.3012609970674491
1.3200000000000005,64,635.1741162211115,79,0.0315,1,1.3023558162267845
1.3500000000000005,78,507.3333863680102,63,0.0315,101,1.329853372434018
1.3500000000000005,66,567.3333863680102,71,0.0315,1,1.3311045943304014
1.3800000000000006,76,499.85794988205555,62,0.096,101,1.3596969696969703
1.3800000000000006,64,559.8579498820556,70,0.096,1,1.3609481915933535
1.5600000000000005,86,507.9719186218807,63,0.0315,101,1.539853372434018
1.5600000000000003,62,543.5283299830189,68,0.042,100,1.5406353861192574
1.5600000000000005,74,567.9719186218807,71,0.0315,1,1.5411045943304014
1.5600000000000003,50,603.5283299830189,75,0.042,0,1.5417302052785926
1.5900000000000005,88,537.4462879412037,67,0.0315,101,1.5704789833822097
1.5900000000000005,76,597.4462879412037,75,0.0315,1,1.5717302052785929
1.6000000000000003,64,522.9693275028588,65,0.042,100,1.5801661779081138
1.6000000000000003,52,582.9693275028588,73,0.042,0,1.581417399804497
1.6200000000000006,86,590.103631674792,74,0.0315,101,1.6015738025415451
1.6200000000000006,74,650.103631674792,81,0.0315,1,1.6026686217008803
1.6400000000000003,62,595.7091240184853,74,0.042,100,1.621573802541545
1.6400000000000003,50,655.7091240184853,82,0.042,0,1.622825024437928
1.6500000000000006,90,605.327433209138,76,0.0315,101,1.631886608015641
1.6500000000000006,78,665.327433209138,83,0.0315,1,1.632981427174976
1.6800000000000004,66,585.7492594414737,73,0.042,100,1.661417399804497
1.6800000000000006,91,608.2986513171298,76,0.063,101,1.661886608015641
1.6800000000000004,54,645.7492594414737,81,0.042,0,1.6626686217008801
1.6800000000000006,79,668.2986513171298,84,0.063,1,1.663137829912024
1.7200000000000004,67,612.878782245438,77,0.084,100,1.7020430107526885
1.7200000000000004,55,672.878782245438,84,0.084,0,1.703137829912024
1.7400000000000007,90,532.3339458995583,67,0.0315,101,1.7204789833822098
1.7400000000000007,78,592.3339458995583,74,0.0315,1,1.7215738025415452
1.7700000000000007,96,491.89929552755973,61,0.096,101,1.7495405669599224
1.7700000000000007,84,551.8992955275597,69,0.096,1,1.7507917888563056
1.8000000000000005,66,550.4312933056204,69,0.042,100,1.7807917888563054
1.8000000000000005,54,610.4312933056204,76,0.042,0,1.7818866080156408
1.8400000000000005,72,494.11115403445547,62,0.128,100,1.8196969696969703
1.8400000000000005,60,554.1111540344555,69,0.128,0,1.8207917888563054
1.9500000000000006,86,527.3729350688161,66,0.0315,101,1.9303225806451618
1.9500000000000006,74,587.3729350688161,73,0.0315,1,1.9314173998044972
1.9800000000000006,88,550.0211523543366,69,0.0315,101,1.9607917888563056
1.9800000000000006,76,610.0211523543366,76,0.0315,1,1.961886608015641
2.0100000000000007,86,612.6431119085278,77,0.0315,101,1.9920430107526887
2.0100000000000007,74,672.6431119085278,84,0.0315,1,1.9931378299120242
2.0400000000000005,90,596.4839909300534,75,0.0315,101,2.021730205278593
2.0400000000000005,78,656.4839909300534,82,0.0315,1,2.022825024437928
2.0700000000000003,91,605.2635111255739,76,0.063,101,2.0518866080156406
2.0700000000000003,79,665.2635111255739,83,0.063,1,2.052981427174976
2.0800000000000005,62,530.5926985988694,66,0.042,100,2.060322580645162
2.0800000000000005,50,590.5926985988694,74,0.042,0,2.061573802541545
2.1200000000000006,55,540.5817293250635,68,0.084,100,2.1006353861192575
2.1200000000000006,43,600.5817293250635,75,0.084,0,2.101730205278593
2.1300000000000003,90,552.9526828330173,69,0.0315,101,2.1107917888563055
2.1300000000000003,78,612.9526828330173,77,0.0315,1,2.1120430107526884
2.16,96,527.8772791680259,66,0.096,101,2.1403225806451616
2.16,84,587.8772791680259,73,0.096,1,2.1414173998044967
2.2000000000000006,57,633.6697101857189,79,0.042,100,2.1823558162267847
2.2000000000000006,45,693.6697101857189,87,0.042,0,2.1836070381231676
2.2400000000000007,55,628.195791183536,79,0.042,100,2.2223558162267847
2.2400000000000007,43,688.195791183536,86,0.042,0,2.22345063538612
2.2800000000000007,52,635.5184553246096,79,0.042,100,2.2623558162267847
2.2800000000000007,40,695.5184553246096,87,0.042,0,2.2636070381231677
